season,sales,transactions,units,avg_transaction,avg_item_price,event_dates,sales_per_event_date,transactions_per_event_date,units_per_event_date,units_per_transaction,sales_per_unit
2023,2722361.35,24398,60903,111.5813,44.6136,81,33609.3994,301.2099,751.8889,2.4962,44.7
2024,2740585.9,24677,61327,111.0583,44.7129,81,33834.3938,304.6543,757.1235,2.4852,44.6881
