frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
114,3783.5,31,482,328,,,,,,,,,,,,,,,
115,3815.6,30,484,311,,,,,,,,,,,,,,,
116,3851.1,29,485,303,,,,,,,,,,,,,,,
117,3885.5,29,484,305,,,,,,,,,,,,,,,
118,3914.6,30,486,318,,,,,,,,,,,,,,,
119,3951.0,32,483,340,,,,,,,,,,,,,,,
120,3982.8,33,485,365,,,,,,,,,,,,,,,
121,4014.7,32,483,395,,,,,,,,,,,,,,,
122,4051.0,31,484,424,,,,,,,,,,,,,,,
123,4083.0,30,486,449,,,,,,,,,,,,,,,
124,4115.1,29,489,468,,,,,,,,,,,,,,,
125,4150.9,29,488,477,,,,,,,,,,,,,,,
126,4183.0,28,489,475,,,,,,,,,,,,,,,
127,4215.4,30,489,464,,,,,,,,,,,,,,,
128,4251.1,31,488,443,,,,,,,,,,,,,,,
129,4282.7,32,491,417,,,,,,,,,,,,,,,
130,4314.8,33,492,385,,,,,,,,,,,,,,,
131,4350.7,33,488,354,,,,,,,,,,,,,,,
132,4385.4,32,491,330,,,,,,,,,,,,,,,
133,4414.9,31,492,312,,,,,,,,,,,,,,,
134,4450.7,29,493,302,,,,,,,,,,,,,,,
135,4483.2,29,493,304,,,,,,,,,,,,,,,
136,4515.0,30,491,317,,,,,,,,,,,,,,,
137,4551.1,32,492,337,,,,,,,,,,,,,,,
138,4582.8,33,490,364,,,,,,,,,,,,,,,
139,4614.9,32,487,393,,,,,,,,,,,,,,,
140,4650.6,31,487,421,,,,,,,,,,,,,,,
141,4683.3,31,487,447,,,,,,,,,,,,,,,
142,4717.2,30,489,466,,,,,,,,,,,,,,,
143,4750.6,29,488,475,,,,,,,,,,,,,,,
144,4782.8,29,488,475,,,,,,,,,,,,,,,
145,4817.2,31,485,463,,,,,,,,,,,,,,,
146,4851.1,32,485,443,,,,,,,,,,,,,,,
147,4882.8,34,484,416,,,,,,,,,,,,,,,
148,4915.3,33,483,385,,,,,,,,,,,,,,,
149,4951.1,32,485,355,,,,,,,,,,,,,,,
150,4983.2,32,484,330,,,,,,,,,,,,,,,
151,5016.7,30,484,312,,,,,,,,,,,,,,,
152,5050.8,29,484,303,,,,,,,,,,,,,,,
153,5082.7,29,485,305,,,,,,,,,,,,,,,
154,5115.7,30,483,317,,,,,,,,,,,,,,,
155,5150.7,31,484,337,,,,,,,,,,,,,,,
156,5185.1,32,482,365,,,,,,,,,,,,,,,
157,5215.0,32,483,392,,,,,,,,,,,,,,,
158,5251.0,31,481,422,,,,,,,,,,,,,,,
159,5283.2,30,482,447,,,,,,,,,,,,,,,
160,5315.0,29,483,466,,,,,,,,,,,,,,,
161,5350.9,28,486,476,,,,,,,,,,,,,,,
162,5382.8,28,485,475,,,,,,,,,,,,,,,
163,5415.0,29,487,465,,,,,,,,,,,,,,,
164,5451.1,31,486,445,,,,,,,,,,,,,,,
165,5482.7,33,485,418,,,,,,,,,,,,,,,
166,5514.9,33,486,386,,,,,,,,,,,,,,,
167,5551.0,32,489,358,,,,,,,,,,,,,,,
168,5583.0,31,489,333,,,,,,,,,,,,,,,
169,5614.7,30,491,314,,,,,,,,,,,,,,,
170,5651.0,29,492,304,,,,,,,,,,,,,,,
