frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
51,1684.8,29,498,365,,,,,,,,,,,,,,,
52,1717.0,29,498,362,,,,,,,,,,,,,,,
53,1752.9,29,498,360,,,,,,,,,,,,,,,
54,1785.1,29,497,359,,,,,,,,,,,,,,,
55,1816.9,29,498,358,,,,,,,,,,,,,,,
56,1855.0,29,497,359,,,,,,,,,,,,,,,
57,1886.7,29,497,360,,,,,,,,,,,,,,,
58,1916.8,28,497,361,,,,,,,,,,,,,,,
59,1953.1,29,497,363,,,,,,,,,,,,,,,
60,1985.5,29,496,365,,,,,,,,,,,,,,,
61,2016.8,29,496,367,,,,,,,,,,,,,,,
62,2052.8,29,496,369,,,,,,,,,,,,,,,
63,2084.6,29,495,370,,,,,,,,,,,,,,,
64,2116.6,29,495,371,,,,,,,,,,,,,,,
65,2152.7,29,495,370,,,,,,,,,,,,,,,
66,2184.7,29,494,369,,,,,,,,,,,,,,,
67,2217.1,29,495,367,,,,,,,,,,,,,,,
68,2252.9,29,494,365,,,,,,,,,,,,,,,
69,2287.7,29,494,363,,,,,,,,,,,,,,,
70,2316.9,29,494,361,,,,,,,,,,,,,,,
71,2352.9,29,494,359,,,,,,,,,,,,,,,
72,2384.9,29,495,358,,,,,,,,,,,,,,,
73,2417.2,29,495,358,,,,,,,,,,,,,,,
74,2453.3,29,495,359,,,,,,,,,,,,,,,
75,2484.9,28,495,360,,,,,,,,,,,,,,,
76,2516.9,29,495,362,,,,,,,,,,,,,,,
77,2553.5,29,495,364,,,,,,,,,,,,,,,
78,2585.1,29,496,366,,,,,,,,,,,,,,,
79,2617.0,28,496,369,,,,,,,,,,,,,,,
80,2652.8,29,496,370,,,,,,,,,,,,,,,
81,2684.8,28,496,372,,,,,,,,,,,,,,,
