frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
118,3911.4,17,535,640,,,,,,,,,,,,,,,
119,3947.7,19,536,643,,,,,,,,,,,,,,,
120,3979.4,20,536,644,,,,,,,,,,,,,,,
121,4012.1,20,534,643,,,,,,,,,,,,,,,
122,4047.2,21,534,644,,,,,,,,,,,,,,,
123,4079.7,21,535,646,,,,,,,,,,,,,,,
124,4111.4,22,533,647,,,,,,,,,,,,,,,
125,4147.2,22,533,649,,,,,,,,,,,,,,,
126,4179.4,21,532,649,,,,,,,,,,,,,,,
127,4211.8,21,531,651,,,,,,,,,,,,,,,
128,4247.1,22,530,655,,,,,,,,,,,,,,,
129,4279.2,22,530,658,,,,,,,,,,,,,,,
130,4311.4,22,527,663,,,,,,,,,,,,,,,
131,4347.5,23,526,669,,,,,,,,,,,,,,,
132,4381.9,23,525,674,,,,,,,,,,,,,,,
133,4411.9,23,524,680,,,,,,,,,,,,,,,
134,4447.7,23,522,684,,,,,,,,,,,,,,,
135,4479.2,23,521,689,,,,,,,,,,,,,,,
136,4511.5,23,519,692,,,,,,,,,,,,,,,
137,4547.2,23,518,695,,,,,,,,,,,,,,,
138,4579.1,23,518,696,,,,,,,,,,,,,,,
139,4611.7,23,518,697,,,,,,,,,,,,,,,
140,4647.1,23,518,698,,,,,,,,,,,,,,,
141,4679.1,23,518,698,,,,,,,,,,,,,,,
142,4711.7,23,517,698,,,,,,,,,,,,,,,
143,4748.3,23,517,702,,,,,,,,,,,,,,,
144,4779.4,23,517,704,,,,,,,,,,,,,,,
145,4811.4,23,516,705,,,,,,,,,,,,,,,
146,4847.4,22,516,709,,,,,,,,,,,,,,,
147,4879.3,22,515,714,,,,,,,,,,,,,,,
148,4911.4,22,515,719,,,,,,,,,,,,,,,
149,4947.4,22,514,725,,,,,,,,,,,,,,,
150,4979.7,22,513,730,,,,,,,,,,,,,,,
151,5011.7,23,512,734,,,,,,,,,,,,,,,
152,5047.4,22,512,736,,,,,,,,,,,,,,,
153,5079.5,23,512,737,,,,,,,,,,,,,,,
154,5111.4,24,512,737,,,,,,,,,,,,,,,
155,5147.4,24,512,737,,,,,,,,,,,,,,,
156,5179.4,24,511,737,,,,,,,,,,,,,,,
157,5211.3,23,511,736,,,,,,,,,,,,,,,
158,5247.3,23,511,738,,,,,,,,,,,,,,,
159,5279.4,23,511,741,,,,,,,,,,,,,,,
160,5311.3,23,511,741,,,,,,,,,,,,,,,
161,5347.4,24,510,743,,,,,,,,,,,,,,,
162,5379.7,23,511,742,,,,,,,,,,,,,,,
163,5411.6,24,510,743,,,,,,,,,,,,,,,
164,5447.2,23,511,742,,,,,,,,,,,,,,,
165,5487.7,23,510,742,,,,,,,,,,,,,,,
166,5512.3,23,510,742,,,,,,,,,,,,,,,
167,5548.1,23,511,743,,,,,,,,,,,,,,,
168,5579.9,24,510,742,,,,,,,,,,,,,,,
169,5611.4,24,509,742,,,,,,,,,,,,,,,
170,5647.4,25,506,738,,,,,,,,,,,,,,,
171,5679.5,26,506,728,,,,,,,,,,,,,,,
172,5715.6,27,505,713,,,,,,,,,,,,,,,
173,5747.7,28,507,695,,,,,,,,,,,,,,,
174,5779.4,29,507,674,,,,,,,,,,,,,,,
175,5811.6,29,508,651,,,,,,,,,,,,,,,
176,5847.4,29,509,631,,,,,,,,,,,,,,,
177,5879.6,29,510,611,,,,,,,,,,,,,,,
178,5917.9,29,511,594,,,,,,,,,,,,,,,
179,5947.1,29,513,580,,,,,,,,,,,,,,,
180,5979.7,28,515,572,,,,,,,,,,,,,,,
181,6011.7,28,516,568,,,,,,,,,,,,,,,
182,6047.1,28,518,570,,,,,,,,,,,,,,,
183,6079.5,28,520,577,,,,,,,,,,,,,,,
184,6111.6,28,521,588,,,,,,,,,,,,,,,
